Organelle,SampleB,SampleD,SampleF,SampleH,SampleJ,mean_perf
Cytoplasm,65.71428571428571,74.28571428571429,65.71428571428571,65.71428571428571,85.71428571428571,71.42857142857143
Cytoskeleton,54.285714285714285,80,57.14285714285714,51.42857142857144,51.42857142857144,58.857142857142854
Endoplasmic Reticulum,60,62.857142857142854,71.42857142857143,60,54.285714285714285,61.71428571428571
Mitochondria,48.57142857142857,60,65.71428571428571,60,68.57142857142857,60.57142857142857
Nucleus,80,82.85714285714286,74.28571428571429,77.14285714285715,80,78.85714285714286
Plasma membrane,20,14.285714285714285,20,20,51.42857142857144,25.142857142857146
Postsynapse,25.71428571428572,40,45.714285714285715,17.142857142857142,40,33.714285714285715
Presynapse,31.428571428571434,20,25.71428571428572,20,48.57142857142857,29.142857142857146
