id,rowname,diff,lwr,upr,p adj,Significant
sp|O75880|SCO1_HUMAN,5-3,-6774739.999999998,-10484540.648090642,-3064939.3519093543,1.1743001852471124e-5,Yes
sp|O75880|SCO1_HUMAN,6-3,-8222329.999999998,-11932130.648090642,-4512529.351909354,1.123621607979075e-7,Yes
sp|O75880|SCO1_HUMAN,7-3,-8610009.999999996,-12319810.64809064,-4900209.3519093525,3.149268101854119e-8,Yes
sp|O75880|SCO1_HUMAN,5-4,-4401489.999999993,-8111290.648090636,-691689.3519093487,0.01022470744884807,Yes
sp|O75880|SCO1_HUMAN,6-4,-5849079.999999992,-9558880.648090634,-2139279.351909348,1.9662576622292427e-4,Yes
sp|O75880|SCO1_HUMAN,7-4,-6236759.999999991,-9946560.648090634,-2526959.351909347,6.165566395921473e-5,Yes
sp|P17980|PRS6A_HUMAN,2-1,-18288600,-33264194.971806996,-3313005.0281930026,0.007414258742653779,Yes
sp|P17980|PRS6A_HUMAN,3-1,-20897800,-35873394.971806996,-5922205.028193003,0.0013424010959266486,Yes
sp|P17980|PRS6A_HUMAN,7-1,-50971199.99999999,-65946794.97180699,-35995605.028193,1.543887240273989e-11,Yes
sp|P17980|PRS6A_HUMAN,6-2,17306999.999999985,2331405.0281929877,32282594.97180698,0.013504360956903771,Yes
sp|P17980|PRS6A_HUMAN,7-2,-32682599.999999993,-47658194.97180699,-17707005.028192997,1.6967446969662348e-7,Yes
sp|P17980|PRS6A_HUMAN,6-3,19916199.999999985,4940605.028192988,34891794.97180698,0.0025995619602641185,Yes
sp|P17980|PRS6A_HUMAN,7-3,-30073399.999999993,-45048994.97180699,-15097805.028192995,1.37850891346325e-6,Yes
sp|P17980|PRS6A_HUMAN,7-4,-39258799.999999985,-54234394.97180698,-24283205.02819299,8.08477618186032e-10,Yes
sp|P17980|PRS6A_HUMAN,7-5,-40843699.99999999,-55819294.97180699,-25868105.028192997,2.3246904401474922e-10,Yes
sp|P17980|PRS6A_HUMAN,7-6,-49989599.99999998,-64965194.97180697,-35014005.02819298,1.551747619288335e-11,Yes
sp|Q13724|MOGS_HUMAN,2-1,-5003650.000000011,-9420372.097590264,-586927.9024097584,0.016530602130385486,Yes
sp|Q13724|MOGS_HUMAN,6-1,-6047910.000000008,-10464632.09759026,-1631187.9024097556,0.001751350301283483,Yes
sp|Q13724|MOGS_HUMAN,7-1,-8892570.000000013,-13309292.097590266,-4475847.90240976,1.2952367266505505e-6,Yes
sp|Q13724|MOGS_HUMAN,4-2,6490109.999999996,2073387.9024097435,10906832.097590249,6.222624138721988e-4,Yes
sp|Q13724|MOGS_HUMAN,5-2,6008489.999999996,1591767.9024097435,10425212.097590249,0.0019164576666514943,Yes
sp|Q13724|MOGS_HUMAN,7-3,-6120210.000000002,-10536932.097590255,-1703487.902409749,0.0014831885425766744,Yes
sp|Q13724|MOGS_HUMAN,6-4,-7534369.9999999935,-11951092.097590245,-3117647.9024097407,4.6648353242528806e-5,Yes
sp|Q13724|MOGS_HUMAN,7-4,-10379029.999999998,-14795752.09759025,-5962307.902409745,2.2089895357346734e-8,Yes
sp|Q13724|MOGS_HUMAN,6-5,-7052749.9999999935,-11469472.097590245,-2636027.9024097407,1.5759970824247294e-4,Yes
sp|Q13724|MOGS_HUMAN,7-5,-9897409.999999998,-14314132.09759025,-5480687.902409745,8.342405843908551e-8,Yes
sp|Q9P265|DIP2B_HUMAN,7-1,-28723509.999999996,-41730162.06897897,-15716857.931021022,1.2383295333595612e-7,Yes
sp|Q9P265|DIP2B_HUMAN,6-2,21310999.99999999,8304347.931021014,34317652.068978965,9.94142137352716e-5,Yes
sp|Q9P265|DIP2B_HUMAN,7-2,-18669810,-31676462.068978973,-5663157.931021025,8.888443599263107e-4,Yes
sp|Q9P265|DIP2B_HUMAN,6-3,21139899.99999999,8133247.931021014,34146552.068978965,1.1505778764098196e-4,Yes
sp|Q9P265|DIP2B_HUMAN,7-3,-18840910,-31847562.068978973,-5834257.931021025,7.748517658686671e-4,Yes
sp|Q9P265|DIP2B_HUMAN,7-4,-29284009.99999999,-42290662.068978965,-16277357.931021014,7.336310992034356e-8,Yes
sp|Q9P265|DIP2B_HUMAN,7-5,-29462109.999999996,-42468762.06897897,-16455457.931021022,6.21044669024684e-8,Yes
sp|Q9P265|DIP2B_HUMAN,7-6,-39980809.999999985,-52987462.06897896,-26974157.931021012,1.8613000030143212e-11,Yes
sp|P62917|RL8_HUMAN,5-1,96022100.00000003,23195122.6861272,168849077.31387287,0.0029104895141180975,Yes
sp|P62917|RL8_HUMAN,6-1,460398699.9999999,387571722.68612707,533225677.3138727,1.5322076940549323e-11,Yes
sp|P62917|RL8_HUMAN,5-2,100927099.99999997,28100122.68612714,173754077.3138728,0.0014808148230042173,Yes
sp|P62917|RL8_HUMAN,6-2,465303699.99999976,392476722.68612695,538130677.3138726,1.5322076940549323e-11,Yes
sp|P62917|RL8_HUMAN,5-3,87261600,14434622.68612717,160088577.3138728,0.009179554873905538,Yes
sp|P62917|RL8_HUMAN,6-3,451638199.9999998,378811222.686127,524465177.31387264,1.5322076940549323e-11,Yes
sp|P62917|RL8_HUMAN,6-4,415587799.99999976,342760822.68612695,488414777.3138726,1.5322076940549323e-11,Yes
sp|P62917|RL8_HUMAN,6-5,364376599.9999998,291549622.686127,437203577.31387264,1.5322076940549323e-11,Yes
sp|P62917|RL8_HUMAN,7-5,-120689699.99999999,-193516677.3138728,-47862722.686127156,8.06562121428156e-5,Yes
sp|P62917|RL8_HUMAN,7-6,-485066299.9999998,-557893277.3138727,-412239322.686127,1.5322076940549323e-11,Yes
sp|Q9BU02|THTPA_HUMAN,7-1,12402519.999999989,7480214.801669033,17324825.198330946,2.7792673717996763e-9,Yes
sp|Q9BU02|THTPA_HUMAN,7-2,9952459.999999993,5030154.801669037,14874765.198330948,1.1699851806268313e-6,Yes
sp|Q9BU02|THTPA_HUMAN,7-3,7859259.999999994,2936954.801669039,12781565.19833095,1.5788868386268362e-4,Yes
sp|Q9BU02|THTPA_HUMAN,7-4,9571539.999999994,4649234.801669039,14493845.19833095,2.934376147956108e-6,Yes
sp|Q9BU02|THTPA_HUMAN,7-5,11344599.999999993,6422294.801669037,16266905.198330948,3.834798845137044e-8,Yes
sp|Q9BU02|THTPA_HUMAN,7-6,9526279.999999994,4603974.801669039,14448585.19833095,3.2711242187177803e-6,Yes
sp|O94919|ENDD1_HUMAN,4-1,76614599.99999988,7414795.711605638,145814404.28839412,0.020684931927724137,Yes
sp|O94919|ENDD1_HUMAN,5-1,82387599.99999991,13187795.711605668,151587404.28839415,0.009845862611461809,Yes
sp|O94919|ENDD1_HUMAN,6-1,88059599.99999991,18859795.711605668,157259404.28839415,0.0045560749830387826,Yes
sp|O94919|ENDD1_HUMAN,7-1,-89200250,-158400054.28839424,-20000445.711605757,0.0038844670369971857,Yes
sp|O94919|ENDD1_HUMAN,4-2,72445099.99999991,3245295.711605668,141644904.28839415,0.03433643880339454,Yes
sp|O94919|ENDD1_HUMAN,5-2,78218099.99999994,9018295.711605698,147417904.28839418,0.01690748697514788,Yes
sp|O94919|ENDD1_HUMAN,6-2,83890099.99999994,14690295.711605698,153089904.28839418,0.008058269993897915,Yes
sp|O94919|ENDD1_HUMAN,7-2,-93369749.99999997,-162569554.2883942,-24169945.711605728,0.0021429446321845624,Yes
sp|O94919|ENDD1_HUMAN,7-3,-113677849.99999994,-182877654.28839418,-44478045.7116057,9.478854884414911e-5,Yes
sp|O94919|ENDD1_HUMAN,7-4,-165814849.99999988,-235014654.28839412,-96615045.71160564,1.2557662576462292e-8,Yes
sp|O94919|ENDD1_HUMAN,7-5,-171587849.9999999,-240787654.28839415,-102388045.71160567,4.531004349495049e-9,Yes
sp|O94919|ENDD1_HUMAN,7-6,-177259849.9999999,-246459654.28839415,-108060045.71160567,1.6689614135145803e-9,Yes
sp|Q9Y6D5|BIG2_HUMAN,7-1,-9177000,-14354284.222652782,-3999715.7773472182,2.1808742726614483e-5,Yes
sp|Q9Y6D5|BIG2_HUMAN,7-2,-8534489.999999996,-13711774.222652778,-3357205.7773472145,8.895061046565456e-5,Yes
sp|Q9Y6D5|BIG2_HUMAN,7-3,-8500500,-13677784.222652782,-3323215.7773472182,9.570550306958747e-5,Yes
sp|Q9Y6D5|BIG2_HUMAN,7-4,-8886299.999999996,-14063584.222652778,-3709015.7773472145,4.1402019623548725e-5,Yes
sp|Q9Y6D5|BIG2_HUMAN,7-5,-7206369.999999995,-12383654.222652778,-2029085.7773472136,0.00139183130224807,Yes
sp|Q9UEW8|STK39_HUMAN,5-1,-46429009.999999985,-66993903.5303402,-25864116.469659768,6.801782892473796e-8,Yes
sp|Q9UEW8|STK39_HUMAN,6-1,-59497169.99999997,-80062063.5303402,-38932276.46965975,4.4119929931696333e-11,Yes
sp|Q9UEW8|STK39_HUMAN,7-1,-81405229.99999999,-101970123.5303402,-60840336.46965977,1.53360657506596e-11,Yes
sp|Q9UEW8|STK39_HUMAN,5-2,-26345209.999999978,-46910103.530340195,-5780316.469659761,0.0041956957665251204,Yes
sp|Q9UEW8|STK39_HUMAN,6-2,-39413369.99999997,-59978263.53034019,-18848476.469659753,4.08258099626746e-6,Yes
sp|Q9UEW8|STK39_HUMAN,7-2,-61321429.999999985,-81886323.5303402,-40756536.46965977,2.5175528328702512e-11,Yes
sp|Q9UEW8|STK39_HUMAN,5-3,-26694910,-47259803.53034022,-6130016.469659783,0.0035564086869450673,Yes
sp|Q9UEW8|STK39_HUMAN,6-3,-39763069.999999985,-60327963.5303402,-19198176.469659768,3.3408992695660444e-6,Yes
sp|Q9UEW8|STK39_HUMAN,7-3,-61671130.00000001,-82236023.53034022,-41106236.46965979,2.335631688055173e-11,Yes
sp|Q9UEW8|STK39_HUMAN,5-4,-28344509.999999985,-48909403.5303402,-7779616.469659768,0.001599065795827359,Yes
sp|Q9UEW8|STK39_HUMAN,6-4,-41412669.99999997,-61977563.53034019,-20847776.469659753,1.289551974870129e-6,Yes
sp|Q9UEW8|STK39_HUMAN,7-4,-63320729.99999999,-83885623.53034021,-42755836.469659775,1.841693464399441e-11,Yes
sp|Q9UEW8|STK39_HUMAN,7-5,-34976220.00000001,-55541113.530340225,-14411326.46965979,4.9418891303942836e-5,Yes
sp|Q9UEW8|STK39_HUMAN,7-6,-21908060.000000015,-42472953.53034023,-1343166.4696597978,0.02949076748411117,Yes
sp|P51114|FXR1_HUMAN,4-1,5455519.999999998,354075.5792902913,10556964.420709705,0.028500617838979503,Yes
sp|P51114|FXR1_HUMAN,7-1,-8249879.999999998,-13351324.420709705,-3148435.5792902913,1.2592654807175307e-4,Yes
sp|P51114|FXR1_HUMAN,4-2,8578079.999999996,3476635.5792902894,13679524.420709703,6.141849821061918e-5,Yes
sp|P51114|FXR1_HUMAN,5-2,7859519.999999996,2758075.5792902894,12960964.420709703,2.9086279754653166e-4,Yes
sp|P51114|FXR1_HUMAN,7-2,-5127320,-10228764.420709707,-25875.579290293157,0.0480480773843176,Yes
sp|P51114|FXR1_HUMAN,4-3,6035000,933555.5792902932,11136444.420709707,0.010551861051620648,Yes
sp|P51114|FXR1_HUMAN,5-3,5316440,214995.57929029316,10417884.420709707,0.035696945663026836,Yes
sp|P51114|FXR1_HUMAN,7-3,-7670399.999999996,-12771844.420709703,-2568955.5792902894,4.331851231097472e-4,Yes
sp|P51114|FXR1_HUMAN,6-4,-5950019.999999996,-11051464.420709703,-848575.5792902894,0.012271736799202237,Yes
sp|P51114|FXR1_HUMAN,7-4,-13705399.999999996,-18806844.420709703,-8603955.57929029,3.7291358889746107e-10,Yes
sp|P51114|FXR1_HUMAN,6-5,-5231459.999999996,-10332904.420709703,-130015.57929028943,0.04084941588532087,Yes
sp|P51114|FXR1_HUMAN,7-5,-12986839.999999996,-18088284.420709703,-7885395.579290289,2.0234934838825325e-9,Yes
sp|P51114|FXR1_HUMAN,7-6,-7755380,-12856824.420709707,-2653935.579290293,3.6242013092269154e-4,Yes
sp|O95571|ETHE1_HUMAN,3-1,7229459.999999988,2311476.2134698257,12147443.78653015,6.185695295379823e-4,Yes
sp|O95571|ETHE1_HUMAN,4-3,-7125859.999999989,-12043843.786530152,-2207876.2134698266,7.717795428409113e-4,Yes
sp|O95571|ETHE1_HUMAN,5-3,-7229459.99999999,-12147443.786530152,-2311476.2134698275,6.185695295379823e-4,Yes
sp|O95571|ETHE1_HUMAN,6-3,-7229459.999999989,-12147443.786530152,-2311476.2134698266,6.185695295379823e-4,Yes
sp|O00303|EIF3F_HUMAN,6-1,33607799.999999985,18923475.103520356,48292124.896479614,4.663235808610722e-8,Yes
sp|O00303|EIF3F_HUMAN,6-2,38955799.999999955,24271475.103520326,53640124.896479584,5.554607884761253e-10,Yes
sp|O00303|EIF3F_HUMAN,6-3,33134099.99999998,18449775.103520352,47818424.89647961,6.906557203922858e-8,Yes
sp|O00303|EIF3F_HUMAN,6-4,25457299.999999985,10772975.103520356,40141624.896479614,3.403497715603887e-5,Yes
sp|O00303|EIF3F_HUMAN,7-4,-19038359.999999993,-33722684.89647962,-4354035.103520364,0.0036114233155833952,Yes
sp|O00303|EIF3F_HUMAN,6-5,29120399.999999985,14436075.103520356,43804724.896479614,1.8576560444349965e-6,Yes
sp|O00303|EIF3F_HUMAN,7-5,-15375259.999999993,-30059584.89647962,-690935.1035203636,0.03429283555164697,Yes
sp|O00303|EIF3F_HUMAN,7-6,-44495659.99999998,-59179984.89647961,-29811335.10352035,2.0849655335553052e-11,Yes
sp|Q14982|OPCM_HUMAN,5-1,109444999.99999994,2618089.8885944188,216271910.11140546,0.04117142679456476,Yes
sp|Q14982|OPCM_HUMAN,7-1,-119608699.99999997,-226435610.1114055,-12781789.888594449,0.018561421989142346,Yes
sp|Q14982|OPCM_HUMAN,7-2,-178848699.99999994,-285675610.1114055,-72021789.88859442,6.667830791717844e-5,Yes
sp|Q14982|OPCM_HUMAN,7-3,-174653699.99999997,-281480610.1114055,-67826789.88859445,1.0341504233579712e-4,Yes
sp|Q14982|OPCM_HUMAN,7-4,-217496699.9999999,-324323610.11140543,-110669789.88859439,9.890451672101008e-7,Yes
sp|Q14982|OPCM_HUMAN,7-5,-229053699.9999999,-335880610.11140543,-122226789.88859439,2.694364755750911e-7,Yes
sp|Q14982|OPCM_HUMAN,7-6,-209302699.99999997,-316129610.1114055,-102475789.88859445,2.464497832921353e-6,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,6-1,-393205000,-762003269.3932445,-24406730.606755555,0.02927887457426659,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,7-1,-676043900.0000001,-1044842169.3932445,-307245630.6067557,1.0835713127321789e-5,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,7-2,-440230900.0000001,-809029169.3932445,-71432630.60675567,0.009568579004338051,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,7-3,-416524900.0000001,-785323169.3932445,-47726630.606755674,0.01704326926487465,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,7-4,-466239900,-835038169.3932445,-97441630.60675555,0.004935598736565239,Yes
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN,7-5,-487472900,-856271169.3932445,-118674630.60675555,0.0028173938649294072,Yes
sp|P12532|KCRU_HUMAN,7-1,-802048999.9999999,-1150604794.862623,-453493205.13737684,4.010255583164479e-8,Yes
sp|P12532|KCRU_HUMAN,4-2,-390145000,-738700794.862623,-41589205.137376964,0.018614978447950792,Yes
sp|P12532|KCRU_HUMAN,5-2,-586337999.9999994,-934893794.8626225,-237782205.13737637,6.094177085225194e-5,Yes
sp|P12532|KCRU_HUMAN,6-2,-616136999.9999996,-964692794.8626227,-267581205.1373766,2.3061391456469238e-5,Yes
sp|P12532|KCRU_HUMAN,7-2,-1076698999.9999995,-1425254794.8626225,-728143205.1373765,1.807443084089755e-11,Yes
sp|P12532|KCRU_HUMAN,4-3,-444665000.0000005,-793220794.8626235,-96109205.13737744,0.004417922983544709,Yes
sp|P12532|KCRU_HUMAN,5-3,-640857999.9999999,-989413794.862623,-292302205.13737684,1.016350864124771e-5,Yes
