Organelle,SampleA,SampleC,SampleE,SampleG,SampleI,mean_perf
Cytoplasm,77.14285714285715,74.28571428571429,74.28571428571429,80,80,77.14285714285714
Cytoskeleton,77.14285714285715,60,48.57142857142857,54.285714285714285,37.14285714285714,55.42857142857142
Endoplasmic Reticulum,65.71428571428571,60,68.57142857142857,71.42857142857143,65.71428571428571,66.28571428571429
Mitochondria,45.714285714285715,60,48.57142857142857,65.71428571428571,42.857142857142854,52.57142857142857
Nucleus,80,91.42857142857143,82.85714285714286,88.57142857142857,88.57142857142857,86.28571428571429
Plasma membrane,14.285714285714285,40,28.57142857142857,31.428571428571434,62.857142857142854,35.42857142857143
Postsynapse,20,22.857142857142854,48.57142857142857,34.285714285714285,25.71428571428572,30.285714285714285
Presynapse,34.285714285714285,25.71428571428572,17.142857142857142,37.142857142857146,28.57142857142857,28.571428571428566
