protein,Df1,Df2,F value1,Mean Sq1,Mean Sq2,Pr(>F)1,Sum Sq1,Sum Sq2,padj,Significant,2-1,3-1,4-1,5-1,6-1,7-1,3-2,4-2,5-2,6-2,7-2,4-3,5-3,6-3,7-3,5-4,6-4,7-4,6-5,7-5,7-6
sp|P04271|S100B_HUMAN,6,63,13.914031171310189,8724793290576671e3,627050003205873e3,5.302636088740329e-10,52348759743460024e3,3950415020197e7,1.1147918315682793e-9,Yes,NA,NA,NA,NA,NA,1.246990921632829e-8,NA,NA,NA,NA,8.343679708255891e-7,NA,NA,NA,2.6126035822526816e-6,NA,NA,2.6325175988439753e-5,NA,2.264482457103867e-8,2.244281538388293e-9
sp|P04350|TBB4A_HUMAN,6,63,72.11001137607525,20833263996522385e3,288909453749364860,2.527250995171193e-26,12499958397913432e4,18201295586209987e3,3.2779302102622974e-25,Yes,0.03894368316600727,0.0012039690458023333,7.322675510375021e-4,NA,4.035827227966138e-11,1.5322076940549323e-11,NA,NA,NA,6.784741010901207e-6,1.5322076940549323e-11,NA,NA,4.5674148760688205e-4,1.5322743074364098e-11,NA,7.575274105834362e-4,1.5323187163573948e-11,3.892914780978529e-6,1.5322076940549323e-11,1.832523022216037e-11
sp|P04406|G3P_HUMAN,6,63,77.17606606955937,24416427431233323e4,3163730502825398300,3.939550200021775e-27,14649856458739994e5,19931502167800008e4,5.797578443397429e-26,Yes,NA,NA,0.004599469765982023,1.2271942351205212e-9,1.5322076940549323e-11,1.5323631252783798e-11,NA,NA,8.034673396606351e-7,1.5322298985154248e-11,1.534361526722705e-11,NA,1.0324949551998586e-6,1.5322298985154248e-11,1.534539162406645e-11,0.003001667792312923,1.5336287795264525e-11,1.7884471681384184e-11,8.24634471818797e-10,2.0085395213031987e-5,NA
sp|P04632|CPNS1_HUMAN,6,63,27.82924778740288,8840396554795240,317665666795238.06,5.677778833255974e-16,53042379328771440,20012937008099996,1.970485375124324e-15,Yes,NA,NA,NA,NA,NA,1.5596746116841587e-11,NA,NA,NA,NA,1.541555771922276e-11,NA,NA,NA,1.5541457010215254e-11,NA,NA,2.978983726364959e-11,NA,3.256539482521248e-11,1.5744627823721657e-11
sp|P04792|HSPB1_HUMAN,6,63,13.999171098348285,158651489899580830,11332920269707940,4.775508591680905e-10,951908939397484900,713973976991600300,1.0088220703336956e-9,Yes,NA,NA,NA,NA,0.034756128203976,0.0012944580477817214,NA,0.03190824522528313,5.195290975736899e-4,2.300363232671243e-4,NA,NA,0.022184611999586656,0.011370220922475638,0.004685064896670754,NA,NA,3.170919622097479e-6,NA,1.7578036692889043e-8,6.96367941088738e-9
sp|P04839|CY24B_HUMAN,6,63,6.088416785408528,932285187615285.1,153124403350571.47,4.516996702976684e-5,5593711125691711,9646837411086002,6.506600897793708e-5,Yes,NA,NA,NA,0.002870875817748697,0.012285733506091634,NA,NA,NA,0.0042175687521558425,0.01742732887534504,NA,NA,0.022185951264948045,NA,NA,NA,NA,NA,NA,0.002472770851353112,0.010719222209523038
sp|P04843|RPN1_HUMAN,6,63,44.83577889074198,12264640191161896,273545826449206.38,6.639967257238568e-21,73587841146971380,17233387066300002,3.9011400718631976e-20,Yes,0.012129454518957528,NA,3.040209227218593e-4,8.211147779013661e-5,NA,6.098999083548051e-11,NA,3.035885987046072e-10,8.26857471381004e-11,0.026241416416663554,5.738119517118001e-5,1.1395766995048184e-5,2.822154884563055e-6,NA,1.6408860936678593e-9,NA,1.1553920797657824e-4,1.5323631252783798e-11,3.024209890534202e-5,1.5323409208178873e-11,1.4944656623328e-10
sp|P04844|RPN2_HUMAN,6,63,41.39691651331863,5248884087323806,126794083458730.14,4.862190387317198e-20,31493304523942836,7988027257899999,2.611081539575078e-19,Yes,0.0026958158514012176,NA,1.8680095137391106e-8,0.007899429925549484,NA,5.161626300820288e-7,0.005475290365354768,1.5355827720497928e-11,2.1515870196608944e-9,NA,NA,7.666022150409901e-9,0.003949375074184025,NA,1.2358417748048467e-6,0.014303256691496347,8.045375476939398e-11,1.5323853297388723e-11,6.477340693800127e-5,1.558808637724951e-11,1.1184247810835934e-4
sp|P04899|GNAI2_HUMAN,6,63,62.99431308809108,186342525530932e3,2958084887287382.5,9.703258627097632e-25,1.1180551531855921e+18,186359347899105100,9.86766599918467e-24,Yes,NA,NA,1.5752402818702826e-5,4.123482911455589e-6,5.867243857982096e-6,1.5604517678013963e-11,NA,7.831818717207728e-5,2.1269168076876177e-5,2.9997815659599247e-5,1.5415335674617836e-11,0.0049333263876009115,0.0015852030820122653,0.002146095340336829,1.5343837311831976e-11,NA,NA,1.5322076940549323e-11,NA,1.5322076940549323e-11,1.5322076940549323e-11
sp|P05023|AT1A1_HUMAN,6,63,29.12437789646676,11929017898713754e3,409588762414764860,2.0406262500802149e-16,7157410739228252e4,25804092032130187e3,7.392138404136731e-16,Yes,NA,NA,NA,1.134635210964241e-5,2.9068452599312344e-5,1.0442626463214033e-5,NA,NA,2.6414022005205595e-5,6.669356995303577e-5,4.431247420666473e-6,NA,1.1923997823126697e-5,3.0524085764094266e-5,9.935738910393788e-6,0.03325192354932238,NA,8.785862037896663e-10,NA,1.5358714300361953e-11,1.536915039679343e-11
