Uniprot_ID,Uniprot_name,Location_control,Confidence_control,Location_AD,Confidence_AD
P29972,AQP1_HUMAN,Plasma membrane,Medium,Cytoskeleton_Plasma membrane,Low
P29992,GNA11_HUMAN,Plasma membrane,Medium,Cytoskeleton,Low
P30038,AL4A1_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P30041,PRDX6_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30043,BLVRB_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P30044,PRDX5_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30046,DOPD_HUMAN;sp,Cytoskeleton,Medium,Cytoskeleton,High
P30048,PRDX3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30049,ATPD_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
P30050,RL12_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Medium
P30084,ECHM_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30085,KCY_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P30086,PEBP1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30101,PDIA3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30153,2AAA_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P30405,PPIF_HUMAN;sp,Mitochondria,Medium,Mitochondria,Low
P30419,NMT1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
P30453,1A34_HUMAN;sp,Endoplasmic Reticulum,Medium,Plasma membrane_Presynapse,Low
P30484,1B46_HUMAN;sp,Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Plasma membrane,Low
P30519,HMOX2_HUMAN,Plasma membrane,Medium,Endoplasmic Reticulum_Presynapse,Low
P30520,PURA2_HUMAN,Cytoplasm,High,Cytoplasm,Medium
P30531,SC6A1_HUMAN,Plasma membrane_Presynapse,Low,Plasma membrane_Presynapse,Low
P30536,TSPO_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Mitochondria,Low
P30566,PUR8_HUMAN,Cytoplasm,High,Cytoplasm,High
P30626,SORCN_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P30711,GSTT1_HUMAN,Cytoskeleton,Low,Cytoplasm,Medium
P30740,ILEU_HUMAN;sp,Cytoplasm,High,Cytoplasm,High
P30837,AL1B1_HUMAN,Mitochondria,High,Mitochondria,High
P30876,RPB2_HUMAN,Cytoplasm,Low,Cytoskeleton_Nucleus,Low
P31040,SDHA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31146,COR1A_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P31150,GDIA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31153,METK2_HUMAN;sp,Cytoplasm,Medium,Cytoplasm,High
P31323,KAP3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31689,DNJA1_HUMAN,Cytoskeleton_Endoplasmic Reticulum,Low,Cytoskeleton_Endoplasmic Reticulum,Low
P31930,QCR1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31937,3HIDH_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P31939,PUR9_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
P31942,HNRH3_HUMAN,Nucleus,High,Nucleus,High
P31943,HNRH1_HUMAN,Cytoskeleton_Plasma membrane,Low,Endoplasmic Reticulum_Nucleus,Low
P31946,1433B_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31947,1433S_HUMAN,Cytoplasm,Medium,Mitochondria,Low
P31948,STIP1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P31949,S10AB_HUMAN,Cytoplasm,High,Cytoplasm,High
P32119,PRDX2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P32189,GLPK_HUMAN;sp,Mitochondria,High,Mitochondria,High
P32455,GBP1_HUMAN,Cytoplasm,High,Cytoplasm,Medium
P32929,CGL_HUMAN,Cytoplasm,High,Nucleus,High
P32969,RL9_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P33176,KINH_HUMAN,Cytoskeleton,Low,Endoplasmic Reticulum,High
P33316,DUT_HUMAN,Mitochondria,Medium,Postsynapse,Medium
P33402,GCYA2_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Mitochondria,Low
P34897,GLYM_HUMAN,Mitochondria,High,NA,None
P34913,HYES_HUMAN,Cytoplasm_Cytoskeleton,Low,Cytoplasm,High
P34932,HSP74_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P34949,MPI_HUMAN,Plasma membrane,High,Cytoplasm,High
P35080,PROF2_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P35221,CTNA1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P35222,CTNB1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P35232,PHB_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
P35237,SPB6_HUMAN,Cytoplasm,High,Cytoplasm,Medium
P35241,RADI_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P35244,RFA3_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
P35268,RL22_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P35270,SPRE_HUMAN,Cytoskeleton,High,Cytoplasm,Medium
P35498,SCN1A_HUMAN,Postsynapse,Low,Mitochondria_Postsynapse,Low
P35520,CBS_HUMAN;sp,Cytoplasm,High,Cytoplasm,High
P35573,GDE_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P35579,MYH9_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P35580,MYH10_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P35606,COPB2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P35611,ADDA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
