Protein.IDs,LFQ_A1,LFQ_A2,LFQ_A3,LFQ_A4,LFQ_A5,LFQ_A6,LFQ_A7,LFQ_B1,LFQ_B2,LFQ_B3,LFQ_B4,LFQ_B5,LFQ_B6,LFQ_B7,LFQ_C1,LFQ_C2,LFQ_C3,LFQ_C4,LFQ_C5,LFQ_C6,LFQ_C7,LFQ_D1,LFQ_D2,LFQ_D3,LFQ_D4,LFQ_D5,LFQ_D6,LFQ_D7,LFQ_E1,LFQ_E2,LFQ_E3,LFQ_E4,LFQ_E5,LFQ_E6,LFQ_E7,LFQ_F1,LFQ_F2,LFQ_F3,LFQ_F4,LFQ_F5,LFQ_F6,LFQ_F7,LFQ_G1,LFQ_G2,LFQ_G3,LFQ_G4,LFQ_G5,LFQ_G6,LFQ_G7,LFQ_H1,LFQ_H2,LFQ_H3,LFQ_H4,LFQ_H5,LFQ_H6,LFQ_H7,LFQ_I1,LFQ_I2,LFQ_I3,LFQ_I4,LFQ_I5,LFQ_I6,LFQ_I7,LFQ_J1,LFQ_J2,LFQ_J3,LFQ_J4,LFQ_J5,LFQ_J6,LFQ_J7
sp|P03897|NU3M_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856520,0,0,0,0,0,0,0,0
sp|P03905|NU4M_HUMAN,22927000,26673000,57186000,39932000,1921600,1169800,0,13334000,14451000,31504000,28729000,3461800,3044900,0,12802000,48580000,23603000,37101000,5475600,700840,0,14815000,27945000,24569000,51520000,8055400,3166800,0,26818000,34892000,34758000,49165000,3443100,1584900,0,10464000,42355000,89050000,75177000,9450900,4581400,0,25985000,73037000,88563000,50840000,4141100,4536800,0,15084000,45113000,49156000,52790000,9693300,6819600,0,22530000,86038000,90977000,77293000,3384400,6380400,0,33844000,95188000,119340000,93698000,5374900,5228100,0
sp|P03915|NU5M_HUMAN,60142000,43574000,91583000,55574000,0,0,0,33888000,35613000,66369000,43762000,15463000,0,0,36160000,74356000,60224000,79613000,12944000,0,0,41781000,73985000,79037000,51120000,13247000,9231300,0,45735000,61224000,99420000,48787000,11419000,6855900,0,34697000,78888000,89151000,82984000,22806000,0,0,75195000,72033000,83108000,40944000,10745000,7696800,0,35759000,57043000,48267000,64963000,27619000,14218000,0,39546000,64748000,83887000,41183000,0,7865900,0,34483000,109560000,139500000,66622000,0,0,0
sp|P03928|ATP8_HUMAN,8159500,13510000,31405000,3478900,0,0,0,6566900,0,0,3740700,0,0,0,6026600,8322100,5338100,8018300,0,0,0,0,3676700,11955000,4170500,2478600,0,0,2861800,0,0,4785600,0,0,0,0,15406000,18687000,13160000,3830400,0,0,7353300,16632000,22478000,6346200,4811500,0,0,0,0,6051300,7689500,3632600,1539800,0,3214600,7606500,6211500,0,0,0,0,0,10333000,23749000,9978200,0,0,0
sp|P04003|C4BPA_HUMAN,4828000,0,0,0,7431400,10170000,0,3685100,0,0,7109600,16293000,33307000,0,0,7634000,0,3004500,5508900,9011000,0,9106500,0,6354700,15732000,37712000,54833000,0,0,0,0,0,0,4229200,0,4374500,0,0,4534400,9414100,16848000,0,0,0,0,0,3615300,8355500,0,12610000,0,0,8688400,46346000,83349000,0,5187300,0,0,5506000,18856000,63539000,3749400,0,0,0,0,0,3970500,0
sp|P04004|VTNC_HUMAN;CON__Q3ZBS7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12475000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P04040|CATA_HUMAN,19629000,16373000,22483000,50612000,18403000,19169000,182930000,3260300,16032000,22985000,28149000,23801000,17013000,216780000,11606000,13406000,19283000,46107000,61066000,43562000,227740000,6438300,16103000,31590000,20204000,22919000,39573000,358870000,9538300,11653000,37979000,66478000,27815000,6488000,84241000,5031200,3092700,27796000,38670000,29081000,3842000,224430000,8202100,6908700,17995000,31310000,25851000,16701000,117060000,3720800,18755000,44696000,41017000,48936000,15264000,134600000,5626000,8245400,3836700,28847000,15781000,0,115990000,0,4536100,4127600,31478000,8531400,2637400,68725000
sp|P04062|GLCM_HUMAN,12156000,7219300,12587000,20125000,16209000,9860400,0,5025400,5222200,6192300,8939200,9193200,12341000,0,7670700,0,7134700,12117000,18765000,8638100,0,6243700,5348300,8924100,12231000,16614000,13352000,0,0,8606700,4212600,0,12868000,6604300,0,0,4751800,0,10401000,8997300,12212000,0,6135800,5977000,6220900,11830000,15447000,11884000,0,7725100,6041800,7431000,12704000,12620000,9048600,0,4738800,5003800,5108200,0,6043400,8446800,0,4248300,0,0,13653000,15627000,11900000,0
sp|P04075|ALDOA_HUMAN;sp|P05062|ALDOB_HUMAN,2416600000,2830100000,2807100000,3077900000,4989100000,5247300000,6314600000,2376000000,2838500000,2747700000,3055100000,4391200000,6280800000,9327200000,2309100000,3005500000,2609400000,3617000000,4492100000,4311600000,7235100000,1779900000,1802800000,2197400000,2334500000,3001400000,3781900000,7844000000,1995900000,2132800000,2764200000,2879800000,3482300000,4809400000,7940000000,2167300000,2164400000,1998900000,2728400000,4211800000,4174300000,8076400000,2511000000,2618600000,2491400000,3546000000,3779700000,5445800000,8695700000,2101700000,2417600000,2307800000,2469300000,3319400000,5288200000,9035700000,1977400000,1936000000,2134600000,3820100000,5812900000,6436500000,9894500000,2275800000,2396300000,2528000000,2635700000,3156700000,3512400000,6125100000
sp|P04080|CYTB_HUMAN,21323000,54909000,50797000,51300000,56900000,37431000,136770000,63635000,60692000,67003000,76627000,61536000,55343000,146100000,24081000,40613000,31451000,48224000,36729000,26274000,114620000,56046000,67911000,71995000,54500000,48002000,43550000,162710000,34776000,37885000,36836000,65361000,41521000,42489000,192110000,60032000,71559000,57554000,81368000,61603000,50517000,164720000,40481000,43058000,56637000,52779000,43295000,37681000,155610000,46324000,79886000,57196000,65977000,61566000,56855000,243780000,43444000,57607000,52815000,56418000,57018000,56059000,232270000,48040000,53734000,66020000,100620000,49323000,38812000,179620000
sp|P04083|ANXA1_HUMAN,40292000,36353000,15210000,86765000,185570000,217050000,76094000,36284000,17717000,24335000,64391000,92458000,118770000,74644000,19126000,20920000,17618000,52964000,140200000,157240000,94397000,44212000,32062000,48934000,69904000,99766000,108480000,89203000,9529800,4308300,19698000,23881000,36281000,51052000,60630000,41734000,37790000,50968000,77560000,105440000,168360000,136190000,20761000,22866000,32444000,63667000,126290000,140070000,87304000,109200000,167910000,255120000,388460000,604890000,873880000,702170000,17657000,18183000,29827000,71938000,113720000,120050000,84880000,10556000,9353500,26135000,57588000,91526000,114210000,72090000
sp|P04114|APOB_HUMAN;CON__ENSEMBL:ENSBTAP00000032840,13162000,0,0,38959000,0,14156000,81260000,52887000,0,5299300,20544000,22389000,53228000,174360000,0,0,0,16923000,0,59692000,28955000,10314000,0,0,8481600,13574000,22871000,214570000,0,0,0,0,0,0,9181000,13759000,7840600,0,36037000,0,10768000,110880000,0,0,0,3552700,0,8047100,26645000,19521000,10382000,12097000,39869000,36341000,134380000,1281800000,16135000,11477000,0,7638200,17592000,55737000,325760000,0,0,0,0,5586000,0,18925000
sp|P04156|PRIO_HUMAN,67922000,79141000,70268000,102150000,60507000,72524000,12367000,67508000,61308000,63222000,71035000,69639000,112900000,40754000,71577000,79386000,93031000,151960000,89414000,98078000,11315000,48912000,75553000,86446000,62846000,48543000,67770000,31329000,92124000,110110000,93969000,109330000,60086000,84732000,19922000,70817000,57157000,41710000,98370000,33407000,83616000,35089000,70751000,77269000,83613000,136780000,44588000,60194000,31496000,51856000,80727000,130980000,68157000,34360000,46865000,43426000,96255000,91978000,71449000,84423000,96483000,136520000,36785000,76444000,96244000,91396000,111160000,55999000,153420000,14134000
sp|P04179|SODM_HUMAN,203800000,523760000,562850000,278930000,106820000,53673000,191560000,197350000,290060000,302060000,213930000,89986000,72273000,326480000,132010000,418980000,355910000,208220000,128510000,77465000,244440000,117360000,277740000,326620000,216700000,138980000,71249000,310220000,281040000,456660000,322220000,253300000,95022000,89708000,520600000,287520000,523830000,572930000,286280000,155190000,105200000,672160000,223270000,563810000,663020000,360360000,111810000,97262000,553490000,394220000,529430000,492610000,419310000,327480000,267610000,980650000,258840000,530900000,474750000,268290000,270780000,209100000,802080000,361500000,863870000,649270000,396840000,117760000,69162000,277980000
sp|P04181|OAT_HUMAN,41124000,67219000,89070000,41314000,12546000,5567300,17222000,33537000,59915000,74397000,43530000,12429000,8809500,7763400,26529000,50038000,64207000,32553000,17811000,11042000,43671000,21925000,54534000,67546000,47028000,16669000,7557100,18354000,26086000,66077000,65320000,30616000,14773000,11067000,46186000,17767000,32187000,57970000,40619000,12562000,4874500,7653000,42350000,64242000,79608000,37260000,18560000,4787600,16064000,33161000,41040000,54304000,64983000,28734000,15349000,12777000,22670000,43270000,51753000,28282000,10547000,9720500,19252000,13195000,48008000,61759000,27184000,7239500,8585400,36554000
sp|P04216|THY1_HUMAN,881280000,1000000000,789520000,934870000,991640000,794520000,33850000,807430000,879980000,877050000,821940000,1318200000,1573100000,201580000,568030000,749390000,768490000,764810000,865700000,845720000,61893000,484700000,660400000,743690000,680790000,976080000,1027100000,97202000,766830000,1019700000,840370000,975810000,1308000000,1126200000,79198000,683370000,618270000,755620000,800690000,906920000,698420000,146620000,1178000000,1242500000,1259600000,1347600000,1116700000,1313100000,87848000,816130000,733620000,655140000,686290000,753970000,825470000,124680000,742220000,871120000,795440000,1544900000,1049000000,2426000000,149530000,1695900000,1478600000,957960000,1079000000,786280000,1245000000,30541000
sp|P04217|A1BG_HUMAN,0,0,0,0,2587000,5299200,4906100,0,2521900,0,0,0,0,5467400,0,3299900,0,5122700,0,0,0,4292100,0,3188300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727600,13531000,0,0,2350400,0,4020100,5788500,0,0,0,3821300,0,10019000,18880000,16213000,2838000,2994600,3015500,9609500,8588200,10420000,24906000,0,0,0,2827900,0,2700400,4981300
sp|Q29974|2B1G_HUMAN;sp|P04229|2B11_HUMAN;sp|Q30154|DRB5_HUMAN;sp|Q9TQE0|2B19_HUMAN;sp|Q30134|2B18_HUMAN;sp|P79483|DRB3_HUMAN;sp|P20039|2B1B_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9422200,15161000,0,0,0,0,0,0,0,0,0,0,0,0,0,7273000,8655500,0,0,0,0,0,0,0,0,0,0,0,0,18346000,21268000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P04264|K2C1_HUMAN;CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q6IFZ6,210390000,0,0,28702000,27923000,14639000,280220000,35475000,0,20788000,31405000,161990000,151120000,225300000,32481000,25834000,185450000,34338000,38297000,0,55090000,49516000,36148000,45889000,0,49830000,44675000,322750000,62868000,0,0,0,0,0,51276000,0,25865000,0,0,89760000,63716000,76565000,188940000,0,0,56117000,32593000,67865000,78051000,0,47492000,0,66884000,74802000,184280000,212580000,28430000,0,23423000,0,0,80239000,43806000,0,33361000,0,0,0,0,0
