Protein.IDs,LFQ_A1,LFQ_A2,LFQ_A3,LFQ_A4,LFQ_A5,LFQ_A6,LFQ_A7,LFQ_B1,LFQ_B2,LFQ_B3,LFQ_B4,LFQ_B5,LFQ_B6,LFQ_B7,LFQ_C1,LFQ_C2,LFQ_C3,LFQ_C4,LFQ_C5,LFQ_C6,LFQ_C7,LFQ_D1,LFQ_D2,LFQ_D3,LFQ_D4,LFQ_D5,LFQ_D6,LFQ_D7,LFQ_E1,LFQ_E2,LFQ_E3,LFQ_E4,LFQ_E5,LFQ_E6,LFQ_E7,LFQ_F1,LFQ_F2,LFQ_F3,LFQ_F4,LFQ_F5,LFQ_F6,LFQ_F7,LFQ_G1,LFQ_G2,LFQ_G3,LFQ_G4,LFQ_G5,LFQ_G6,LFQ_G7,LFQ_H1,LFQ_H2,LFQ_H3,LFQ_H4,LFQ_H5,LFQ_H6,LFQ_H7,LFQ_I1,LFQ_I2,LFQ_I3,LFQ_I4,LFQ_I5,LFQ_I6,LFQ_I7,LFQ_J1,LFQ_J2,LFQ_J3,LFQ_J4,LFQ_J5,LFQ_J6,LFQ_J7
CON__ENSEMBL:ENSBTAP00000025008;sp|Q9H4B7|TBB1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9212800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P00761,2195900000,1338200000,1280700000,1185900000,1806400000,1529200000,1153500000,1470500000,1917300000,1971100000,1411800000,1417800000,1465300000,2703300000,3247800000,1384700000,1605300000,1149900000,1321400000,1830400000,1162000000,2359400000,2398400000,3093600000,1583200000,1748400000,2700400000,2350700000,3396000000,3111700000,2528400000,2829300000,2905900000,3194900000,2610700000,2466500000,1996300000,2350700000,1366800000,2279000000,2823000000,1791200000,1582600000,1530800000,1695000000,1485900000,1401200000,1629700000,2261900000,1832200000,1720200000,2229800000,1054300000,1406200000,1200200000,2489900000,3009900000,1656300000,1584000000,1428800000,2129500000,2004200000,1267800000,3628900000,2221000000,2327300000,1366800000,1585900000,1629900000,1894700000
CON__P01966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565000
CON__P02070;sp|P02100|HBE_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02662,0,0,0,0,0,0,0,0,0,3585800,0,8363100,57767000,58211000,0,0,0,4174100,3455300,4331700,0,48973000,0,0,0,0,4361400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820700,0,0,0,0,0,0,6707800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02666,0,0,0,0,0,0,0,0,0,0,0,0,12733000,15218000,0,0,0,0,0,0,0,42379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19545000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P02768|ALBU_HUMAN;CON__P02768-1,830690000,1319200000,1345900000,1674500000,2382400000,2838600000,13288000000,862180000,1346200000,1475000000,1692300000,2517700000,2567100000,12877000000,580670000,1074200000,1242900000,1735300000,2518500000,1989700000,11622000000,746010000,1349900000,1470400000,1769400000,2772100000,3363300000,16080000000,557170000,1057500000,928270000,1198700000,1665800000,1861600000,9825200000,518510000,908850000,884050000,1019900000,1966300000,1578900000,11720000000,606750000,924180000,1004200000,1469500000,2038700000,2049400000,10027000000,1657500000,2548100000,3280900000,4101900000,5790900000,5915300000,27979000000,960260000,1476400000,2027700000,3080600000,5179600000,5809600000,19831000000,505540000,874450000,913530000,1069000000,1494100000,1249600000,6967300000
CON__P02769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477,21546000,61091000,55725000,55321000,0,0,0,64827000,0,95896000,63916000,20271000,20070000,0,0,57332000,63195000,0,0,0,0,0,61879000,0,0,51700000,0,0,0,25829000,0,84344000,0,43938000,42715000,62833000,22105000,61744000,0,62001000,48178000,19547000,57827000,40698000,0,38453000,30649000,42419000,23177000,60750000,66538000,82172000,50512000,40628000,0,63094000,88340000,64548000,71812000,86006000,59478000,35735000,25503000,200720000,97284000,106420000,20901000,41449000,44211000,38001000
CON__P12763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278470,0,0,0,0
CON__P13645;sp|P13645|K1C10_HUMAN;CON__P02535-1,3758100,0,0,3514500,4677800,2576300,26590000,2058900,1834200,1707300,1358000,5621900,5959600,10663000,3880600,0,65773000,2254600,2239400,0,2804200,0,0,0,0,1833800,3673400,64876000,0,0,0,0,0,0,2444400,2545600,0,2386700,0,2390100,1755500,0,19607000,0,0,0,0,23404000,13463000,0,0,0,2066200,4685600,0,1425900,1383400,0,0,0,1350600,0,3908900,2878300,0,0,0,0,964130,1632600
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27842000,0,0,0,0,0,0,0,0,0,0,0,2090200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__Q2UVX4,0,0,0,0,0,0,14971000,0,0,0,0,0,0,12790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27159000,0,0,0,0,0,3587400,33207000,0,0,0,0,0,0,71385000,0,0,0,0,0,0,14418000,0,0,0,0,0,0,87483000,0,0,0,0,0,0,36893000
CON__Q3SX14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13287000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70068000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__Q3SX28;sp|P07951|TPM2_HUMAN,0,0,0,0,0,0,9816200,0,0,0,8263000,0,0,13457000,0,0,0,0,0,0,6138600,0,0,0,0,0,0,13097000,0,0,0,0,0,0,12796000,0,4088800,0,0,0,0,29110000,0,0,0,0,0,0,0,5903900,0,0,0,0,9805300,17809000,7327300,0,0,0,0,0,7714600,0,0,0,0,0,0,10243000
CON__Q3ZBD7,21865000,33273000,34557000,35447000,41116000,71319000,172730000,54151000,46961000,36326000,45250000,19210000,28803000,44076000,26390000,28239000,27097000,41996000,48541000,53771000,175030000,144750000,45890000,47546000,43233000,47697000,0,39515000,34269000,25945000,64026000,32109000,37492000,37093000,133960000,55824000,45422000,35891000,59687000,47445000,49066000,34876000,30341000,34295000,33139000,34928000,82476000,28081000,126680000,46296000,52391000,44551000,42767000,33170000,31431000,64417000,40157000,44423000,31713000,41069000,39325000,37495000,65476000,40300000,24793000,24634000,28106000,102870000,39763000,139410000
sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0,7699200,0,0,0,0,0,0,6973000,0,0,0,0,0,0,6654900,0,0,0,0,0,0,7469200,0,0,0,0,0,0,10424000,0,0,0,0,0,0,7087700,0,0,0,0,0,0,4094800,0,0,0,0,0,0,4597500,0,0,0,0,0,0,5436200,0,0,0,0,0,0,14258000,0,0,0,0,0,0
REV__sp|O14508|SOCS2_HUMAN,27518000,30857000,0,0,32505000,27342000,0,21378000,0,0,0,25315000,50091000,0,24902000,20571000,23069000,34731000,0,0,0,0,0,15683000,0,0,25295000,0,0,24466000,0,31985000,40536000,42118000,0,0,0,22842000,0,30839000,36425000,0,26741000,36480000,0,19474000,0,23459000,10430000,21365000,20543000,20870000,0,15281000,22413000,0,0,21011000,0,20764000,50302000,39789000,0,0,0,0,29241000,0,0,0
REV__sp|O15144|ARPC2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14735000
REV__sp|O60486|PLXC1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5199300
REV__sp|O75764|TCEA3_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6814900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|O75934|SPF27_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|O75964|ATP5L_HUMAN,19945000,18241000,43101000,0,0,0,0,10232000,11841000,11649000,7678000,3444200,0,0,0,16586000,15437000,8517000,0,0,0,0,9101200,9553200,0,0,0,0,0,11611000,8181800,6238900,0,3236900,0,0,13854000,14951000,9925600,0,6479700,0,8765500,19610000,0,0,0,0,0,0,0,14440000,7671700,5274400,0,0,9139300,11649000,16455000,6687500,0,2597900,0,0,0,13226000,15308000,0,0,0
REV__sp|O94876|TMCC1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7651600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|O94966|UBP19_HUMAN,0,0,0,0,0,0,5071200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3265300,0,5999900,0,0,0,0,0,0,0,0,7039700,8279700,10150000,17140000,7610200,13428000,148130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|O95453|PARN_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31966000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|P01024|CO3_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10133000,0,0,0,0,0,0,0
REV__sp|P12270|TPR_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,58928000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39764000,0,0,0,0,0,158410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|P32019|I5P2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4741300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|P35749|MYH11_HUMAN,14270000,0,0,0,0,25185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|P42694|HELZ_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|P51575|P2RX1_HUMAN,74597000,53630000,44060000,0,0,14547000,0,63286000,77601000,75463000,0,0,0,0,54866000,43258000,43490000,51313000,28017000,21531000,0,0,0,70444000,51113000,33629000,0,0,116760000,29627000,0,103830000,51660000,41966000,0,0,34303000,70354000,26455000,43700000,0,0,28618000,23699000,0,0,27364000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016000,34236000,0,0
REV__sp|P98196|AT11A_HUMAN;REV__sp|Q9Y2G3|AT11B_HUMAN,18046000,30815000,25234000,29079000,43836000,34693000,27217000,16817000,21539000,20882000,17050000,36567000,29586000,28807000,5801900,17235000,17533000,29229000,40429000,38161000,22224000,16984000,20855000,18691000,26671000,24538000,33727000,57700000,13354000,26534000,20061000,19301000,52932000,50505000,71452000,30264000,23589000,21249000,21608000,38572000,42302000,44587000,10693000,15055000,14765000,19690000,32317000,45148000,26093000,12474000,17380000,17764000,21085000,17303000,25639000,58665000,16021000,15567000,19524000,42837000,82677000,48098000,76937000,0,0,36187000,60445000,104090000,81760000,43669000
REV__sp|Q02224|CENPE_HUMAN,10013000,15551000,10209000,7682100,0,0,0,0,18144000,16869000,8967400,6661200,0,0,0,10611000,13113000,10218000,0,6279700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4609200,0,0,0,4959400,0,4183600,9196400,0,0,0,11257000,0,0,0,11837000,0,0,0,5365600,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q07020|RL18_HUMAN,0,8731000,0,0,0,0,359150000,29753000,11407000,23155000,0,177320000,46183000,808460000,0,22202000,27206000,41887000,0,0,0,0,78507000,29849000,0,17498000,105430000,279560000,0,0,0,6905900,0,0,449420000,31622000,0,7058700,0,0,302110000,0,0,30236000,17630000,65521000,10296000,21280000,122530000,0,0,0,0,0,0,569820000,0,0,0,0,65449000,61209000,184130000,0,0,13017000,62306000,9940700,0,142310000
REV__sp|Q08AD1|CAMP2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q14204|DYHC1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8350700,0,0,0,0,0,0,0,0,0,0,9909300,0,0,0,0,0,8529200,0,0,0,0,0,9373800,0,0,0,0,0,0,0,0,0,0,0,10445000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q14643|ITPR1_HUMAN;REV__sp|Q14573|ITPR3_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580000,0,0,0,0,0,0,17461000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q15051|IQCB1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9906900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q15393|SF3B3_HUMAN,0,0,0,0,0,0,0,0,5949300,0,7868900,0,0,67670000,0,7111200,0,0,0,0,39748000,0,0,0,0,0,0,64023000,0,15052000,0,19864000,0,0,52767000,0,0,0,0,7239400,0,53669000,0,0,0,6449500,0,0,44076000,0,0,12009000,0,0,0,0,0,0,0,12666000,0,0,52136000,0,0,0,0,0,0,43304000
REV__sp|Q15413|RYR3_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6243900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503300,0,0
REV__sp|Q16739|CEGT_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q5JY77|GASP1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7422600,0,0,0,0,0,0,0,7574600,0,0,0,0,0,0,0,0,0,0,0,9100600,0,0,0,0,24849000,0
REV__sp|Q5SZL2|CE85L_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11386000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q5TZA2|CROCC_HUMAN,0,42432000,0,0,25738000,23641000,0,48793000,0,0,47323000,33522000,0,0,0,0,48972000,0,0,22767000,0,40285000,0,38065000,62416000,42058000,0,0,203200000,0,45429000,0,0,0,0,0,0,0,41318000,0,0,0,45046000,0,0,0,0,0,68584000,0,0,49305000,0,0,54723000,0,45422000,51682000,0,0,0,0,0,0,0,0,0,0,51855000,0
REV__sp|Q6NUQ4|TM214_HUMAN,16666000,39122000,31793000,10969000,11156000,8533400,0,7382400,14629000,8308200,7919800,0,0,0,9453600,17826000,19640000,0,0,0,0,13089000,4234900,14445000,0,0,0,0,9134600,2840500,6437100,0,918920,0,659450,15084000,3043600,3538800,2436900,0,7819000,0,9513700,6011000,18061000,0,0,0,0,2235000,2945500,0,0,0,0,0,2540700,0,1651400,0,1542000,0,0,0,0,0,0,0,0,0
REV__sp|Q6PL24|TMED8_HUMAN,0,0,0,0,0,0,0,43236000,64066000,51066000,0,0,0,0,0,28751000,0,0,0,0,0,48205000,100750000,122160000,0,34330000,22885000,0,0,0,113310000,0,0,0,0,51832000,41965000,46462000,0,27447000,0,0,0,51243000,0,0,0,0,0,0,55353000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40932000,26629000,0,0
REV__sp|Q7Z401|MYCPP_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27390000
REV__sp|Q86TB9|PATL1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11482000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q86X24|HORM1_HUMAN,10326000,28594000,9488300,7318000,17675000,8590200,0,8720800,14366000,20003000,0,23649000,34105000,0,8331800,29552000,65578000,0,97610000,126070000,0,16322000,61959000,22183000,81400000,31391000,16627000,0,18650000,50581000,24912000,19588000,18095000,11034000,0,19485000,19559000,49602000,45408000,10771000,0,0,27516000,42874000,16403000,33062000,103520000,225380000,0,33921000,51276000,59739000,151500000,219100000,145680000,0,13599000,0,54440000,60535000,0,10495000,0,0,34100000,38494000,48074000,7962600,6822800,0
REV__sp|Q86X55|CARM1_HUMAN,14324000,12226000,13321000,15125000,0,0,0,12573000,0,0,11044000,0,0,0,0,0,0,12291000,0,0,0,0,0,9296300,0,11300000,0,0,0,6832600,0,11118000,0,0,0,9535300,0,11136000,0,0,0,0,0,11492000,0,11770000,0,0,0,0,11331000,0,0,0,0,0,0,0,0,0,5090100,0,0,0,0,5458000,0,14329000,0,0
REV__sp|Q8N4U5|T11L2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q8N6G6|ATL1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44685000
REV__sp|Q8NF91|SYNE1_HUMAN,17600000,25480000,23949000,27942000,0,33086000,51403000,0,0,22327000,25862000,0,35683000,67151000,0,20181000,20838000,20811000,0,23384000,133220000,0,0,0,0,0,0,39463000,0,0,0,0,0,28301000,0,0,0,0,0,0,0,51996000,0,0,0,0,0,14674000,38334000,17410000,0,0,0,0,0,54753000,0,0,0,17272000,0,0,33692000,0,0,0,12551000,0,0,27447000
REV__sp|Q8TF32|ZN431_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8966900
REV__sp|Q8WXH0|SYNE2_HUMAN,0,0,0,0,0,0,29946000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14816000,0,7308700,0,0,0,0,0,0,0,0,0,0,0,34926000,0,0,0,0,0,0,21017000
REV__sp|Q8WYP5|ELYS_HUMAN,95609000,73876000,72450000,64805000,68257000,0,0,116350000,0,0,8433700,48647000,73276000,0,99055000,0,0,0,0,61562000,0,0,0,0,0,0,0,0,0,109610000,0,91167000,0,0,0,89938000,0,74241000,83391000,0,83775000,0,0,111440000,0,0,0,0,0,0,27302000,0,0,0,0,0,0,0,0,84313000,20185000,10624000,0,0,0,0,0,0,62619000,0
REV__sp|Q8WZ42|TITIN_HUMAN,97791000,47294000,50271000,46204000,41174000,39810000,39816000,52287000,0,0,19064000,26190000,28345000,0,97045000,120970000,70536000,25479000,31536000,27910000,120760000,44749000,43985000,0,38339000,57058000,37648000,91203000,116630000,0,225560000,95182000,0,41335000,83865000,99087000,76377000,68445000,90780000,36318000,43165000,19181000,55183000,44427000,45864000,59207000,0,73873000,0,78915000,41992000,80195000,46576000,38195000,0,72272000,49489000,0,47615000,108420000,66678000,0,0,42724000,38698000,71361000,75134000,59293000,0,0
REV__sp|Q969P0|IGSF8_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q96N23|CFA54_HUMAN,25843000,0,0,0,0,0,0,20292000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12956000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q96RW7|HMCN1_HUMAN,194760000,51992000,0,6469400,0,26419000,0,131070000,11840000,35011000,52509000,0,0,0,149650000,51063000,0,14401000,23903000,27671000,0,178320000,32627000,21252000,0,32962000,0,0,4769400,0,0,18557000,18002000,36220000,0,100220000,27018000,30767000,42029000,42482000,38441000,0,64068000,51551000,29263000,30856000,44891000,28477000,0,575050000,47806000,41833000,16555000,62540000,53285000,18172000,177760000,23492000,12791000,7357900,57282000,18345000,0,508580000,29410000,25526000,6784900,31322000,37755000,0
REV__sp|Q99996|AKAP9_HUMAN,8603600,0,0,5872000,16409000,26755000,0,0,0,7353600,0,0,11526000,0,0,0,44912000,0,0,15079000,0,0,0,8559100,0,0,0,0,0,0,26779000,10091000,0,8320000,0,0,0,0,0,0,86152000,0,0,0,4896900,0,8453300,14509000,0,0,0,0,0,0,11948000,0,0,0,0,0,10901000,20323000,0,0,0,0,17746000,0,24000000,0
REV__sp|Q9BWW9|APOL5_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80932
REV__sp|Q9BXT6|M10L1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184400,0,0,0,0,0,0,0
REV__sp|Q9C0E4|GRIP2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q9C0G6|DYH6_HUMAN,0,7362800,0,12429000,0,0,0,0,0,0,0,0,10434000,0,0,0,0,0,0,9248800,0,0,0,0,0,0,10982000,0,0,0,0,0,0,0,0,0,0,0,0,11813000,14545000,0,0,0,8267200,9203300,9791100,7971000,0,0,8906600,10370000,11167000,6244000,0,23706000,0,0,9892600,0,0,0,0,0,0,0,0,14221000,0,10229000
REV__sp|Q9NYC9|DYH9_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,43585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__sp|Q9NZM4|BICRA_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594720,0,0,0,0,0,0,0
